module,filename,has_lens,has_summary
01-Foundations,22_Computational_Complexity.ipynb,False,False
01-Foundations,07_Dictionaries.ipynb,False,False
01-Foundations,18_Data_Acquisition_Web_Scraping.ipynb,False,False
01-Foundations,16_Data_Visualization.ipynb,False,False
01-Foundations,17_Effective_Debugging.ipynb,False,False
01-Foundations,03_Python_Fundamentals_Data_Types.ipynb,False,False
01-Foundations,05_Lists_and_Tuples.ipynb,False,False
01-Foundations,08_Sets.ipynb,False,False
01-Foundations,20_Introduction_to_SciPy.ipynb,False,False
01-Foundations,12_NumPy.ipynb,False,False
01-Foundations,02_Professional_Development_Environment.ipynb,False,False
01-Foundations,11_Object_Oriented_Programming.ipynb,False,False
01-Foundations,10_Advanced_Functions.ipynb,False,False
01-Foundations,06_Advanced_String_Processing.ipynb,False,False
01-Foundations,24_Production_Code_Standards.ipynb,False,False
01-Foundations,21_Symbolic_Computation_with_SymPy.ipynb,False,False
01-Foundations,15_Accessing_Economic_Data_via_APIs.ipynb,False,False
01-Foundations,04_Python_Data_Model.ipynb,False,False
01-Foundations,01_Introduction.ipynb,False,False
01-Foundations,13_Pandas.ipynb,False,False
01-Foundations,14_Introduction_to_Data_Acquisition.ipynb,False,False
01-Foundations,09_Control_Flow_and_Error_Handling.ipynb,False,False
01-Foundations,19_Introduction_to_SQL.ipynb,False,False
01-Foundations,23_Profiling_and_Performance.ipynb,False,False
06-Econometrics,02_Maximum_Likelihood.ipynb,False,False
07-Machine-Learning,03_Support_Vector_Machines.ipynb,False,False
07-Machine-Learning,05_Dimensionality_Reduction_and_Clustering.ipynb,False,False
07-Machine-Learning,10_Transformers_executed.ipynb,False,False
07-Machine-Learning,16_Advanced_Deep_RL.ipynb,False,False
07-Machine-Learning,15_Reinforcement_Learning.ipynb,False,False
07-Machine-Learning,20_Geospatial_Data.ipynb,False,False
07-Machine-Learning,06_Deep_Learning_Foundations.ipynb,False,False
07-Machine-Learning,09_LSTMs_and_GRUs.ipynb,False,False
07-Machine-Learning,14_Multi_modal_Fusion.ipynb,False,False
07-Machine-Learning,17_Causal_ML.ipynb,False,False
07-Machine-Learning,11_Autoencoders.ipynb,False,False
07-Machine-Learning,21_ML_for_Macro_Forecasting.ipynb,False,False
07-Machine-Learning,04_Ensemble_Methods.ipynb,False,False
07-Machine-Learning,12_Self_Supervised_Learning.ipynb,False,False
07-Machine-Learning,18_Natural_Language_Processing.ipynb,False,False
07-Machine-Learning,22_Style_Transfer_and_Advanced_Vision.ipynb,False,False
07-Machine-Learning,09_LSTMs_and_GRUs_executed.ipynb,False,False
07-Machine-Learning,19_Graph_Neural_Networks.ipynb,False,False
07-Machine-Learning,08_Recurrent_Neural_Networks.ipynb,False,False
07-Machine-Learning,07_Convolutional_Neural_Networks.ipynb,False,False
07-Machine-Learning,10_Transformers.ipynb,False,False
07-Machine-Learning,13_Generative_Models.ipynb,False,False
07-Machine-Learning,02_Gradient_Boosting_Machines.ipynb,False,False
08-Time-Series,02_ARMA_Models.ipynb,False,False
08-Time-Series,06_Cointegration_and_Error_Correction_Models.ipynb,False,False
08-Time-Series,05_Volatility_Modeling_ARCH_GARCH.ipynb,True,False
08-Time-Series,03_ARIMA_and_Forecasting.ipynb,False,False
09-Finance,02_Portfolio_Theory.ipynb,True,False
Appendix,01_Replication_Exercise_Chetty_2014.ipynb,False,False
Appendix,01_Publishing_with_Quarto.ipynb,False,False
Appendix,02_Autograding_with_Otter.ipynb,False,False
